id|campaignName|networkName|paramsFormation|deeplinkFormation|sourceUrl|sourceExtension|active
a6a848d4|Maisons du Monde|Effiliation|&effi_id={$refid}&effi_id2={$extra_data1}|&url={$url}|https://products.effinity.fr/product-output/output/22334424?apikey=eNxQFlVejkVA4xHX39BxG2TT1ib7mfN1|csv|true
d5bef51b|PCComponentes|Effiliation|&effi_id={$refid}&effi_id2={$extra_data1}|&url={$url}|https://products.effinity.fr/product-output/output/22334425?apikey=eNxQFlVejkVA4xHX39BxG2TT1ib7mfN1|csv|true
8d3caa82|Drestige|Own|&rfid={$refid}&extradata={$extra_data1}|Direct|https://www.drestige.com/integration/google/file/feed_gb-en-gbp.xml|csv|true
8287157e_DE|Zooplus DE|Ingenius|&amc=con.zooplus.286469.298797.8395.{$refid}&smc1={$extra_data1}|&trg={$url}|https://export.net.zooplus.com/0d60e3b3-8d31-4bde-8c00-949c9d839bab/api/productdataexport_120?pid=298797&format=csv&sep=semicolon&columns=PRODUCT_ID,PRODUCT_NAME,DESCRIPTION,PRICE,PRICE_OLD,PRICE_CURRENCY,PRODUCT_LINK,PRODUCT_IMAGE_URL,BRAND,CATEGORY|csv|true
8287157e_ES|Zooplus ES|Ingenius|&amc=con.zooplus.286469.298797.9541.{$refid}&smc1={$extra_data1}|&trg={$url}|https://export.net.zooplus.com/0d60e3b3-8d31-4bde-8c00-949c9d839bab/api/productdataexport_118?pid=298797&format=csv&sep=semicolon&columns=PRODUCT_ID,PRODUCT_NAME,DESCRIPTION,PRICE,PRICE_OLD,PRICE_CURRENCY,PRODUCT_LINK,PRODUCT_IMAGE_URL,BRAND,CATEGORY|csv|true
8287157e_IT|Zooplus IT|Ingenius|&amc=con.zooplus.286469.298797.8397.{$refid}&smc1={$extra_data1}|&trg={$url}|https://export.net.zooplus.com/0d60e3b3-8d31-4bde-8c00-949c9d839bab/api/productdataexport_119?pid=298797&format=csv&sep=semicolon&columns=PRODUCT_ID,PRODUCT_NAME,DESCRIPTION,PRICE,PRICE_OLD,PRICE_CURRENCY,PRODUCT_LINK,PRODUCT_IMAGE_URL,BRAND,CATEGORY|csv|true
3234bfe2_DE|Bershka DE|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994885952854280&myFormat=15940392602549962|csv|true
3234bfe2_ES|Bershka ES|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994886992549962&myFormat=15940392602549962|csv|true
145f5b9f|Eureka Electrodomésticos|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994895842549962&myFormat=15940392602549962|csv|true
01ee306e|FNAC ES (TV only)|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994904682549962&myFormat=15940392602549962|csv|true
5fdc831f|La Tostadora ES (Mujer, manga corta y Hombre)|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994911602549962&myFormat=15940392602549962|csv|true
e7e2131d|M6 Boutique FR|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994927452854291&myFormat=15940392602549962|csv|true
1a2ac16e|Microsoft NL (XBOX only)|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994929412854292&myFormat=15940392602549962|csv|true
df12b745|Philips ES|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15935289722549962&myFormat=15940392602549962|csv|true
1d509ac9_DE|Puma DE|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994878322854280&myFormat=15940392602549962|csv|true
1d509ac9_ES|Puma ES|TradeDoubler|&epi={$refid}_{$extra_data1}|&url={$url}|http://pf.tradedoubler.com/export/export?myFeed=15994879892549962&myFormat=15940392602549962|csv|true
