id|title|link|price|description|condition|gtin|brand|mpn|image_link|product_type|availability|quantity|shipping|shipping_weight|google_product_category|adwords_grouping|adwords_labels|gender|age_group|color|size|item_group_id|sale_price|adwords_redirect|identifier_exists|sale_price_effective_date|tax|custom_label_0|custom_label_1|custom_label_2|custom_label_3|custom_label_4|adult|promotion_id|shipping_length|shipping_width|shipping_height|shipping_label
12531155_ES|Batería original Sony Xperia Sola MT27i|https://www.maxmovil.com/es/bateria-original-sony-xperia-sola-mt27i.html|18.00|Alarga la vida de tu móvil renovando la batería por una nueva y totalmente original. Batería original sony 1253-1155 perfecta para el Sony Xperia Sola MT27i|new|4894262038835|Sony Ericsson|MPN_12531155_ES|https://www.maxmovil.com/media/catalog/product/1/2/12531155.jpg|Accesorios > Baterías|in stock|1|ES:::0|0.05||Accesorios > Baterías|12531155_ES|unisex|adult||||8.47|https://tag.shopping-feed.com/v3/redirect/product/8b7378dc1c1348e75102c074dfbd937947b49848|||ES::0:||Menos de 1500 mAh|||Accesorios||||||
176462_ES|Cargador de coche para iPod y iPhone (2G/3G/3GS/4/4S)|https://www.maxmovil.com/es/griffin-powerjolt-reserve-176462.html|24.00|Amplíe su navegación, conversaciones y tiempo operativo con Griffin PowerJolt Reserve. Al mismo tiempo que estés cargando la batería interna del reproductor o móvil, podrás cargar la batería de reserva extraíble. Es como tener el doble de batería cada vez que lo cargues.|new|5013742150129|Otras|MPN_176462_ES|https://www.maxmovil.com/media/catalog/product/1/7/176462_176462_1_3.jpg|Accesorios > Cargadores|in stock|4|ES:::0|0.05||Accesorios > Cargadores|176462_ES|unisex|adult|Negro|||7.26|https://tag.shopping-feed.com/v3/redirect/product/b58e9e348f3437d6a1d2a9ab9709c37f8ccf7540|||ES::0:|||||Accesorios||||||
5015_ES|Siemens Euroset 5015 Gris Oscuro|https://www.maxmovil.com/es/siemens-euroset-5015-gris-oscuro.html|44.00|Nueva gama Euroset: teléfono con pantalla numérica y manos libres • Pantalla numérica: 20 caracteres• Manos libres• 32 teclas de marcación directa (2 por tecla)• Rellamada de los 5 últimos números marcados|new|0999123139800|Siemens|MPN_5015_ES|https://www.maxmovil.com/media/catalog/product/5/0/5015_euroset5015.jpg|Telefonía Fija > Sobremesa|in stock|1|ES:::0|0.5||Telefonía Fija > Sobremesa|5015_ES|unisex|adult|||||https://tag.shopping-feed.com/v3/redirect/product/fe29c485316121e187f0dbda3c594cab5ac14929|||ES::0:|||||Telefonía fija||||||
7752872_ES|Funda Otterbox Defender Negra para iPad Pro 12,9"|https://www.maxmovil.com/es/funda-otterbox-defender-negra-para-ipad-pro-12-9.html|50.00|Funda Otterbox Defender Negra para iPad Pro 12,9"La Otterbox Defender es una funda súper resistente para el iPad Pro de 12,9". Protege tu tablet por delante y por detrás, ajustándose perfectamente a este modelo. Además, puedes utilizar esta funda como soporte para reclinar el iPad tanto en posición horizontal como vertical. De esta manera, puedes leer, ver vídeos o navegar cómodamente con el mejor ángulo de lectura.|new|0660543390855|Otras|MPN_7752872_ES|https://www.maxmovil.com/media/catalog/product/f/u/funda_otterbox_ipad_pro_12.9_negra.jpg|Tablets > Accesorios > Fundas|in stock|2|ES:::0|0.05||Tablets > Accesorios > Fundas|7752872_ES|unisex|adult|Blanco||||https://tag.shopping-feed.com/v3/redirect/product/927a5e6d6c49ae32c8ac2d25f92a8d0d0446b5ad|||ES::0:|||||Accesorios||||||
7753984_ES|Funda Symmetry Etui Azul para iPhone 7|https://www.maxmovil.com/es/funda-symmetry-etui-azul-para-iphone-7.html|20.00|Funda Symmetry Etui Azul para iPhone 7|new|5060475900019|Otras|MPN_7753984_ES|https://www.maxmovil.com/media/catalog/product/f/u/funda_otterbox_symmetry_etui_azul_iphone_7.jpg|Accesorios > Fundas > Fundas con tapa|in stock|10|ES:::0|0.05||Accesorios > Fundas > Fundas con tapa|7753984_ES|unisex|adult|Azul||||https://tag.shopping-feed.com/v3/redirect/product/a71d00a7511261fc052be3dfddb27b1beeb7732c|||ES::0:|||||Accesorios||||||
7754282_ES|Funda LifeProof Nüüd Morada para iPhone 7|https://www.maxmovil.com/es/capa-lifeproof-nuud-purple-para-iphone-7.html|40.00|Funda LifeProof Nüüd Morada para iPhone 7|new|0660543406419|Otras|MPN_7754282_ES|https://www.maxmovil.com/media/catalog/product/f/u/funda_lifeproof_iphone_7.jpg|Accesorios > Fundas > Fundas con tapa|in stock|10|ES:::0|0.05||Accesorios > Fundas > Fundas con tapa|7754282_ES|unisex|adult|Violeta||||https://tag.shopping-feed.com/v3/redirect/product/f1f27e134daa98b9d6803078aa86973b071dc3a1|||ES::0:|||||Accesorios||||||
7754512_ES|Funda Otterbox Achiever Negra para Huawei P9|https://www.maxmovil.com/es/funda-otterbox-achiever-negra-para-huawei-p9.html|15.00|Funda Otterbox Achiever Negra para Huawei P9|new|0660543409069|Otras|MPN_7754512_ES|https://www.maxmovil.com/media/catalog/product/f/u/funda_huawei_p9_rugerizada.jpg|Accesorios > Fundas > Fundas rígidas|in stock|7|ES:::0|0.05||Accesorios > Fundas > Fundas rígidas|7754512_ES|unisex|adult|Negro||||https://tag.shopping-feed.com/v3/redirect/product/4afa071926343fa1608a1cb158050ec7248abbf6|||ES::0:|||||Accesorios||||||
A1066DSB_ES|Alcatel 1066D Negro Dual SIM|https://www.maxmovil.com/es/alcatel-1066d-negro-dual-sim.html|19.00|Alcatel 1066DEl Alcatel 1066D es un teléfono móvil simple, con las funciones básicas de toda la vida. Llamar, enviar SMS, reproducir la radio FM, programar la alarma, hacer fotos y vídeos con una cámara funcional, etc. Este terminal es fácil de utilizar.Por otro lado, el Alcatel 1066D es ligero y de dimensiones reducidas, con una pantalla de 1,8 pulgadas y teclado numérico físico. Admite una tarjeta micro SD de hasta 32 GB para ampliar su almacenamiento interno.Idiomas disponibles: español.|new|4894461747743|Alcatel|MPN_A1066DSB_ES|https://www.maxmovil.com/media/catalog/product/c/o/comprar_alcatel_1066d_negro.jpg|Móviles clásicos|in stock|3|ES:::0|0.5||Móviles clásicos|A1066DSB_ES|unisex|adult|Negro|||17.55|https://tag.shopping-feed.com/v3/redirect/product/8867d9f72cb37972f84a3342fa022cda4785b71d|||ES::0:|4 MB|Menos de 1500 mAh|Hasta 4"||Móviles libres||||||
A1066DSW_ES|Alcatel 1066D Blanco Dual SIM|https://www.maxmovil.com/es/alcatel-1066d-blanco-dual-sim.html|19.00|Alcatel 1066DEl Alcatel 1066D es un teléfono móvil simple, con las funciones básicas de toda la vida. Llamar, enviar SMS, reproducir la radio FM, programar la alarma, hacer fotos y vídeos con una cámara funcional, etc. Este terminal es fácil de utilizar.Por otro lado, el Alcatel 1066D es ligero y de dimensiones reducidas, con una pantalla de 1,8 pulgadas y teclado numérico físico. Admite una tarjeta micro SD de hasta 32 GB para ampliar su almacenamiento interno.Idiomas disponibles: español e inglés.|new|4894461747750|Alcatel|MPN_A1066DSW_ES|https://www.maxmovil.com/media/catalog/product/a/l/alcatel_1066d_blanco.jpg|Móviles clásicos|in stock|10|ES:::0|0.5||Móviles clásicos|A1066DSW_ES|unisex|adult|Blanco|||17.41|https://tag.shopping-feed.com/v3/redirect/product/41ae2b544ab313c6e1bb46c348522393170d5526|||ES::0:|4 MB|Menos de 1500 mAh|Hasta 4"||Móviles libres||||||
A3026XMG_ES|Alcatel 3026X Gris Single SIM|https://www.maxmovil.com/es/alcatel-3026x-cinzento-unico-sim.html|49.00|Alcatel 3026X, un móvil clásico para mayoresEl Alcatel 3026X es un teléfono móvil concebido para las personas de edad avanzada. Cuenta con una pantalla a color de 2,8 pulgadas y un teclado ergonómico tradicional. El formato de móvil con tapa previene pulsar botones por error y evita problemas con el desbloqueo del terminal.Además, este modelo de Alcatel incorpora un botón SOS para emergencias. Está ubicado en la parte superior trasera y al pulsarlo el teléfono llama automáticamente al primer contacto de emergencia. Si no hay respuesta, se le envía un mensaje SMS y pasa a llamar al siguiente contacto. El Alcatel 3026X puede almacenar hasta 10 contactos SOS.Siguiendo con la filosofía de simplificar las cosas, este teléfono Alcatel se carga en una cómoda base que viene incluida. De esta manera se ahorran preocupaciones por los cables y cargadores. La interfaz del móvil está simplificada, con pantallas de un solo icono para evitar confusiones.Por otro lado, es compatible con audífonos M4/T4, lo que lo hace perfecto para personas con problemas de audición. Otras funciones interesantes son su conectividad 3G, radio FM, Bluetooth 2.1 o la linterna.|new|4894461780948|Alcatel|MPN_A3026XMG_ES|https://www.maxmovil.com/media/catalog/product/a/l/alcatel-3026x-gris-libre.jpg|Móviles clásicos|in stock|5|ES:::0|0.5||Móviles clásicos|A3026XMG_ES|unisex|adult|Gris||||https://tag.shopping-feed.com/v3/redirect/product/3441965f41e305eb639d38f49811110fcbe83188|||ES::0:|128 MB|Menos de 1500 mAh|Hasta 4"||Móviles libres||||||
